Anos;Nascimentos;Nasc. M;Nasc. F;Obitos;Obitos M;Obitos F;Populacao Residente Total;Populacao Homens;Populacao Mulheres
1900;165245;85274;79971;110330;56304;54026;5446760;;
1920;202908;103984;98924;142862;72220;70662;6080135;;
1930;202529;103928;98601;116352;59508;56844;6802429;;
1940;187892;97147;90745;120486;60930;59556;7755423;3734348.0;4021075.0
1950;205163;106025;99138;102798;52366;50432;8510240;4120184.0;4390056.0
1960;213895;110485;103410;94883;48110;46773;8889392;4254416.0;4634976.0
1970;180690;93223;87467;92854;47179;45675;8663252;4109360.0;4553892.0
1980;158309;81624;76685;94794;49475;45319;9818980;4730690.0;5088290.0
1981;152071;78331;73740;95728;50043;45685;9883670;4762918.0;5120752.0
1982;151002;77846;73156;92379;48339;44040;9939871;4791219.0;5148652.0
1983;144296;74792;69504;96179;50045;46134;9975859;4809921.0;5165938.0
1984;142783;73884;68899;96975;50762;46213;10016605;4830522.0;5186083.0
1985;130450;67331;63119;97085;50820;46265;10030621;4837388.0;5193233.0
1986;126715;65408;61307;95521;49796;45725;10034846;4839557.0;5195289.0
1987;123179;63549;59630;95102;49582;45520;10025215;4834731.0;5190484.0
1988;122093;63008;59085;97844;51246;46598;10014005;4828820.0;5185185.0
1989;118483;60858;57625;95743;50046;45697;9995995;4819318.0;5176677.0
1990;116321;59918;56403;102768;53193;49575;9970441;4806553.0;5163888.0
1991;116299;59862;56437;103882;54185;49697;9950029;4795177.0;5154852.0
1992;114924;58844;56080;100638;52938;47700;9954958;4796090.0;5158868.0
1993;113960;58388;55572;105950;55560;50390;9974391;4804894.0;5169497.0
1994;109227;56439;52788;99232;52103;47129;10008659;4821929.0;5186730.0
1995;107097;55662;51435;103475;54078;49397;10043693;4839946.0;5203747.0
1996;110261;57324;52937;106881;56169;50712;10084196;4860523.0;5223673.0
1997;112933;58037;54896;104778;54841;49937;10133758;4885382.0;5248376.0
1998;113384;58530;54854;106198;55647;50551;10186634;4912169.0;5274465.0
1999;116002;59774;56228;107871;56179;51692;10249022;4944150.0;5304872.0
2000;120008;62222;57786;105364;55023;50341;10330774;4986458.0;5344316.0
2001;112774;58365;54409;105092;54838;50254;10394669;5019374.0;5375295.0
2002;114383;59303;55080;106258;55377;50881;10444592;5037340.0;5407252.0
2003;112515;58210;54305;108795;55966;52829;10473050;5047329.0;5425721.0
2004;109298;56212;53086;102012;53202;48810;10494672;5053722.0;5440950.0
2005;109399;56612;52787;107464;55493;51971;10511988;5058813.0;5453175.0
2006;105449;54057;51392;101990;53471;48519;10532588;5064395.0;5468193.0
2007;102492;52683;49809;103512;53379;50133;10553339;5069747.0;5483592.0
2008;104594;53976;50618;104280;53582;50698;10563014;5066239.0;5496775.0
2009;99491;50873;48618;104434;53310;51124;10573479;5063745.0;5509734.0
2010;101381;51535;49846;105954;54219;51734;10572721;5053543.0;5519178.0
2011;96856;49688;47167;102848;52544;50301;10558950;5038389.0;5520561.0
2012;89841;46161;43680;107612;54473;53139;10503889;5003294.0;5500595.0
2013;82787;42219;40567;106554;54184;52369;10444092;4965345.0;5478747.0
2014;82367;42427;39940;104843;53233;51610;10395121;4934668.0;5460453.0
2015;85500;43685;41815;108539;54175;54364;10368554;4919465.0;5449089.0
2016;87126;44789;42337;110573;55626;54947;10344478;4907936.0;5436542.0
2017;86154;44072;42082;109758;55088;54670;10335770;4902631.0;5433139.0
2018;87020;44309;42711;113051;56728;56322;10333496;4898614.0;5434882.0
2019;86579;44539;42040;111843;55869;55974;10375395;4926990.0;5448405.0
2020;84530;43451;41079;123396;61395;62001;10394297;4942871.0;5451426.0
2021;79582;40762;38820;124841;62728;62113;10421117;4967262.0;5453855.0
2022;83671;42925;40746;124361;61739;62621;10516621;5020648.0;5495973.0
2023;85699;43748;41951;118295;59261;59034;10639726;5083568.0;5556158.0
