Anos;Total de Nados-vivos;Masculino;Feminino;Nascimento Fora do Casamento;Taxa bruta de natalidade;Índice sintético de fecundidade;Idade média da mulher ao nascimento do primeiro filho;Idade média da mulher ao nascimento de um filho
1900;165245;85274;79971;19236;30.6;;;
1910;186953;96845;90108;20601;31.7;;;
1920;202908;103984;98924;27274;33.7;;;
1930;202529;103928;98601;29409;29.8;;;
1940;187892;97147;90745;29463;24.4;;;
1950;205163;106025;99138;24132;24.3;;;
1960;213895;110485;103410;20221;24.1;3.1;;
1970;180690;93223;87467;13042;20.8;2.8;;
1980;158309;81624;76685;14558;16.2;2.25;24.0;27.2
1981;152071;78331;73740;14434;15.4;2.13;24.0;27.2
1982;151002;77846;73156;15159;15.2;2.08;24.0;27.2
1983;144296;74792;69504;15441;14.5;1.96;23.9;27.1
1984;142783;73884;68899;16395;14.3;1.91;24.0;27.1
1985;130450;67331;63119;16088;13.0;1.73;24.2;27.2
1986;126715;65408;61307;16158;12.6;1.67;24.2;27.1
1987;123179;63549;59630;16315;12.3;1.63;24.4;27.2
1988;122093;63008;59085;16731;12.2;1.62;24.5;27.2
1989;118483;60858;57625;17212;11.8;1.58;24.7;27.2
1990;116321;59918;56403;17095;11.7;1.57;24.9;27.3
1991;116299;59862;56437;18122;11.7;1.56;25.1;27.5
1992;114924;58844;56080;18478;11.5;1.54;25.2;27.6
1993;113960;58388;55572;19298;11.4;1.52;25.4;27.7
1994;109227;56439;52788;19464;10.9;1.45;25.6;27.8
1995;107097;55662;51435;19972;10.7;1.41;25.8;28.0
1996;110261;57324;52937;20563;11.0;1.45;25.9;28.1
1997;112933;58037;54896;22063;11.2;1.47;26.0;28.2
1998;113384;58530;54854;22802;11.2;1.48;26.1;28.4
1999;116002;59774;56228;24186;11.4;1.51;26.4;28.5
2000;120008;62222;57786;26642;11.7;1.55;26.5;28.6
2001;112774;58365;54409;26814;10.9;1.45;26.6;28.8
2002;114383;59303;55080;29117;11.0;1.47;26.8;28.9
2003;112515;58210;54305;30236;10.8;1.44;27.1;29.0
2004;109298;56212;53086;31766;10.4;1.41;27.1;29.2
2005;109399;56612;52787;33633;10.4;1.42;27.3;29.3
2006;105449;54057;51392;33331;10.0;1.38;27.5;29.4
2007;102492;52683;49809;34443;9.7;1.35;27.6;29.5
2008;104594;53976;50618;37854;9.9;1.4;27.7;29.6
2009;99491;50873;48618;37928;9.4;1.35;27.9;29.7
2010;101381;51535;49846;41844;9.6;1.39;28.1;29.8
2011;96856;49688;47167;41489;9.2;1.35;28.4;30.1
2012;89841;46161;43680;40950;8.5;1.29;28.6;30.2
2013;82787;42219;40567;39434;7.9;1.21;28.9;30.4
2014;82367;42427;39940;41;7.9;1.23;29.2;30.7
2015;85500;43685;41815;43361;8.2;1.31;29.5;30.9
2016;87126;44789;42337;46;8.4;1.36;29.6;31.1
2017;86154;44072;42082;47;8.3;1.38;29.6;31.2
2018;87020;44309;42711;48625;8.4;1.42;29.8;31.4
2019;86579;44539;42040;49140;8.4;1.43;29.9;31.4
2020;84530;43451;41079;48972;8.1;1.41;30.2;31.6
2021;79582;40762;38820;47785;7.6;1.35;30.4;31.8
2022;83671;42925;40746;50329;8.0;1.43;30.3;31.7
2023;85699;43748;41951;51119;8.1;1.44;30.2;31.6
